name,release_number
adp.Vol,137
app.varlorg.unote,12
aq.com.sharetobrowser,1
at.bitfire.davdroid,201
at.bitfire.gfxtablet,5
at.bitfire.icsdroid,18
at.bitfire.nophonespam,3
at.linuxtage.companion,700144
atitel.com.todoer,1
atm.nasaimages,3
axp.tool.apkextractor,4
be.digitalia.fosdem,1500150
br.com.frs.foodrestrictions,2
br.usp.ime.retrobreaker,5
bus.chio.wishmaster,1001
ca.cmetcalfe.locationshare,3
ca.cmetcalfe.xposed.disablebatterywarnings,2
ca.cmetcalfe.xposed.flatconnectivityicons,1
ca.prps.xposed.entrustunblocker,3
ca.rmen.android.networkmonitor,13000
cat.pantsu.nyaapantsu,1
ch.abertschi.adfree,19
ch.bailu.aat,20
ch.blinkenlights.android.vanilla,10591
ch.hgdev.toposuite,69
ch.ihdg.calendarcolor,4
ch.jiikuy.velocitycalculator,5
ch.logixisland.anuto,16
chromiumupdater.bamless.com.chromiumsweupdater,6
click.dummer.funphonepuppet,12
click.dummer.rickapp,20
click.dummer.textthing,200
click.dummer.UartSmartwatch,32
com.abcdjdj.rootverifier,12
com.adam.aslfms,48
com.agateau.catgenerator,2
com.agnibho.android.solarcompass,1
com.aidinhut.simpletextcrypt,10
com.alaskalinuxuser.hourglass,6
com.alaskalinuxuser.justcraigslist,10
com.alaskalinuxuser.justnotes,9
com.alaskalinuxuser.shipcaptainandcrew,8
com.alexcruz.papuhwalls,10
com.anddevw.getchromium,20170830
com.angryburg.uapp,421
com.anysoftkeyboard.languagepack.basque,1
com.anysoftkeyboard.languagepack.brazilian,100
com.anysoftkeyboard.languagepack.danish,100
com.anysoftkeyboard.languagepack.dutch,5
com.anysoftkeyboard.languagepack.german,173
com.anysoftkeyboard.languagepack.greek,200
com.anysoftkeyboard.languagepack.hebrew,168
com.anysoftkeyboard.languagepack.icelandic,52
com.anysoftkeyboard.languagepack.italian,100
com.anysoftkeyboard.languagepack.latvian,100
com.anysoftkeyboard.languagepack.macedonian,168
com.anysoftkeyboard.languagepack.neo,8
com.anysoftkeyboard.languagepack.norwegian,101
com.anysoftkeyboard.languagepack.portuguese,101
com.anysoftkeyboard.languagepack.russian,101
com.anysoftkeyboard.languagepack.slovene,100
com.anysoftkeyboard.languagepack.spain,167
com.anysoftkeyboard.languagepack.swedish,103
com.anysoftkeyboard.languagepack.tatar,100
com.anysoftkeyboard.languagepack.ukrainian,100
com.aragaer.jtt,34
com.bijoysingh.quicknote,48
com.bmco.cratesiounofficial,6
com.brentpanther.bitcoincashwidget,23
com.brentpanther.bitcoinwidget,162
com.brentpanther.ethereumwidget,33
com.brentpanther.litecoinwidget,23
com.briankhuu.nfcmessageboard,16
com.byagowi.persiancalendar,531
com.bytehamster.changelog,40
com.bytestemplar.tonedef,16
com.catchingnow.tinyclipboardmanager,57
com.cityzen.cityzen,1
com.commonslab.commonslab,3
com.coste.syncorg,10
com.danielkim.soundrecorder,130
com.danvelazco.fbwrapper,20170312
com.digitalfishfun.openshift,1
com.dimtion.shaarlier,22
com.dkanada.icecons,19
com.dkanada.openapk,35
com.dnielfe.manager,67
com.doomy.torch,11
com.dosse.chromiumautoupdater,17
com.easwareapps.baria,1
com.easwareapps.gl,23
com.easwareapps.quoter,3
com.easwareapps.transparentwidget,2
com.easytarget.micopi,32
com.ebaschiera.triplecamel,8
com.einmalfel.podlisten,1030600
com.elementarytoday.theia,6
com.eneko.hexcolortimewallpaper,2
com.enrico.earthquake.batterysimplysolid,13
com.enrico.earthquake,16
com.enrico.filemanager,5
com.etesync.syncadapter,26
com.evenement.encapsulation,2
com.example.openpass,1
com.example.root.analyticaltranslator,6
com.example.tobiastrumm.freifunkautoconnect,10
com.frozendevs.cache.cleaner,23
com.fullscreen,2
com.futurice.android.reservator,17
com.gabm.fancyplaces,9
com.gabm.screenrotationcontrol,13
com.games.boardgames.aeonsend,1
com.genonbeta.TrebleShot,60
com.ghisguth.sun,2
com.ghstudios.android.mhgendatabase,6
com.github.axet.audiorecorder,247
com.github.axet.bookreader,113
com.github.axet.callrecorder,146
com.github.axet.hourlyreminder,343
com.github.axet.mover,114
com.github.axet.tonegenerator,17
com.github.axet.torrentclient,594
com.github.cythara,15
com.github.gianlucanitti.expreval,3
com.github.mueller_ma.viewandroidversion,2
com.github.quarck.calnotify,4360
com.github.redpanal.android,2
com.github.sryze.wirebug,101
com.github.xloem.qrstream,9
com.github.yeriomin.dumbphoneassistant,5
com.github.yeriomin.smsscheduler,5
com.github.yeriomin.workoutlog,1
com.gmail.afonsotrepa.pocketgopher,1
com.google.android.diskusage,3080
com.greenaddress.abcore,61
com.gunshippenguin.openflood,12
com.haringeymobile.ukweather,24
com.hayaisoftware.launcher,10405
com.health.openscale,23
com.holokenmod,17
com.iamtrk.androidexplorer,1
com.iazasoft.footguy,6
com.infonuascape.osrshelper,14
com.itds.sms.ping,4
com.iven.lfflfeedreader,66
com.jarsilio.android.pocketup,1
com.jarsilio.android.scrambledeggsif,5
com.jarsilio.android.waveup,37
com.javierllorente.adc,1
com.javiersantos.whatsappbetaupdater,25
com.jmstudios.chibe,4
com.jorgecastillo.kanadrill,33
com.jotabout.screeninfo,107
com.jtmcn.archwiki.viewer,12
com.juliansparber.captiveportallogin,2
com.kanedias.vanilla.audiotag,15
com.kanedias.vanilla.coverfetch,7
com.kanedias.vanilla.lyrics,9
com.keylesspalace.tusky,32
com.khuttun.notificationnotes,6
com.kn.paper_foss_theme,30
com.knirirr.beecount,118
com.launcher.silverfish,8
com.litmus.worldscope,1
com.llamacorp.equate,7
com.lostrealm.lembretes,93
com.luk.timetable,28
com.lukekorth.screennotifications,20
com.luorrak.ouroboros,34
com.majeur.applicationsinfo,7
com.mantz_it.rfanalyzer,1303
com.marceljurtz.lifecounter,10
com.MarcosDiez.shareviahttp,28
com.mareksebera.simpledilbert,37
com.markusborg.test,17
com.materialos.cm.theme,5
com.mathi_amorim.emmanuel.metrictime,4
com.mde.potdroid,76
com.menny.anysoftkeyboard.finnish,201
com.moonpi.swiftnotes,11
com.mrbimc.selinux,20171031
com.mridang.throttle,2
com.msapps.touchdetector,1
com.murrayc.galaxyzoo.app,64
com.mustafaali.sensorssandbox,8
com.nathanosman.chronosnap,6
com.nicue.onetwo,14
com.nkanaev.comics,7
com.nltechno.dolidroidpro,28
com.nononsenseapps.feeder,26
com.notecryptpro,18
com.nutomic.syncthingandroid,4137
com.ogsdroid,5
com.orpheusdroid.screenrecorder,21
com.palliser.nztides,11
com.passcard,6
com.Pau.ImapNotes,40
com.pavelsikun.runinbackgroundpermissionsetter,8
com.pcinpact,227
com.phikal.regex,3
com.phpsysinfo,910
com.physphil.android.unitconverterultimate,40200
com.pierreduchemin.punchlinebingo,6
com.pixiv.muzei.pixivsource,20100
com.pjuu.otterdroid,7
com.platypus.SAnd,3
com.poupa.vinylmusicplayer,150
com.prhlt.aemus.ReadSpeechExperiments,19
com.primokorn.enhancement,20
com.quaap.audiometer,3
com.quaap.bookymcbookface,31
com.quaap.computationaldemonology,1
com.quaap.dodatheexploda,2
com.quaap.fishberserker,22
com.quaap.launchtime,74
com.quaap.phonefonefun,12
com.quaap.primary,32
com.rareventure.gps,78
com.rascarlo.aurdroid,7
com.rastating.droidbeard,1502
com.redirectapps.tvkill,21
com.ridgelineapps.resdicegame,16
com.ringdroid,20704
com.rubenroy.minimaltodo,3
com.rubenwardy.minetestmodmanager,18
com.sagar.screenshift,4
com.saladdressing.veterondo,13
com.samebits.beacon.locator,118
com.samsandberg.mtafarebuster,5
com.secuso.privacyFriendlyCodeScanner,9
com.secuso.torchlight,3
com.serwylo.lexica,1000
com.shapps.mintubeapp,3
com.shkmishra.lyrically,15
com.simplemobiletools.applauncher,11
com.simplemobiletools.calculator,17
com.simplemobiletools.calendar,112
com.simplemobiletools.camera,54
com.simplemobiletools.contacts,8
com.simplemobiletools.draw,28
com.simplemobiletools.filemanager,45
com.simplemobiletools.flashlight,26
com.simplemobiletools.gallery,160
com.simplemobiletools.musicplayer,36
com.simplemobiletools.notes,45
com.simplemobiletools.thankyou,7
com.slash.batterychargelimit,21
com.tananaev.logcat,8
com.tengu.sharetoclipboard,21
com.termux.api,16
com.termux.boot,5
com.termux.styling,21
com.termux.tasker,3
com.termux.widget,9
com.termux.window,11
com.termux,60
com.thibaudperso.sonycamera,16
com.tmendes.birthdaydroid,12
com.tmendes.dadosd,4
com.tomaszmarzeion.notepad,7
com.tomer.dbz.widget,5
com.tomer.draw,100
com.tomer.poke.notifier,19
com.tortel.syslog,26
com.tttdevs.stncbookmarks,2
com.ubergeek.WeechatAndroid,436
com.uberspot.a,23
com.ultrafunk.network_info,30
com.ultramegatech.ey,29
com.utyf.pmetro,112
com.veniosg.dir,1523
com.vlath.beheexplorer,20064
com.vlath.keyboard,112
com.vlille.checker,723
com.vrem.wifianalyzer,34
com.vsmartcard.acardemulator,2
com.wabadaba.dziennik,9
